timestamp,experiment_id,agg_mode,alpha,chunk_size,collection_name,cosine_threshold,coverage@5,coverage@5_semantic,embedding_model,eval_method,hit_rate@5,hit_rate@5_semantic,max_queries,mode,mrr@5,mrr@5_semantic,ndcg@5,ndcg@5_semantic,num_queries,overlap,precision@5,precision@5_semantic,qdrant_path,recall@5,recall@5_semantic,retrieval_mode,retrieve_k,rrf_k,search_type,strategy,top_k
20251109_125417,exp_20251109_125417,max,0.5,380,chunks_recursive_380_50_qwen_qwen3_embedding_0_6b,0.7,0.68,0.67,Qwen/Qwen3-Embedding-0.6B,both,0.625,0.955,0,from_collection,0.43041666666666667,0.8791666666666668,0.44591623171460365,0.6170714297035506,200,50,0.136,0.7830000000000001,langchain_qdrant,0.5666666666666668,0.5591666666666667,dense,20,60,similarity,recursive,5
20251109_130131,exp_20251109_130131,max,0.7,380,chunks_recursive_380_50_qwen_qwen3_embedding_0_6b,0.7,0.68,0.67,Qwen/Qwen3-Embedding-0.6B,both,0.625,0.955,0,from_collection,0.43041666666666667,0.8791666666666668,0.44591623171460365,0.6170714297035506,200,50,0.136,0.7830000000000001,langchain_qdrant,0.5666666666666668,0.5591666666666667,hybrid,20,60,hybrid_rrf,recursive,5
20251109_133308,exp_20251109_133308,max,0.5,380,chunks_recursive_380_50_baai_bge_m3,0.7,0.58,0.555,BAAI/bge-m3,both,0.54,0.885,0,from_collection,0.3780833333333334,0.7632499999999999,0.39091435850774886,0.5343762795042012,200,50,0.11599999999999999,0.632,langchain_qdrant,0.4891666666666667,0.46916666666666673,dense,20,60,similarity,recursive,5
20251109_133956,exp_20251109_133956,max,0.7,380,chunks_recursive_380_50_baai_bge_m3,0.7,0.58,0.555,BAAI/bge-m3,both,0.54,0.885,0,from_collection,0.3780833333333334,0.7632499999999999,0.39091435850774886,0.5343762795042012,200,50,0.11599999999999999,0.632,langchain_qdrant,0.4891666666666667,0.46916666666666673,hybrid,20,60,hybrid_rrf,recursive,5
